gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020065,2,False,2024-10-17,FLA,Florida Panthers,True,VAN,Vancouver Canucks,FLA,Florida Panthers,3,2,2.39,1.0,0.097,1.0,0.0,0.0,2.3810000000000002,2.0,0.013999999999999999,0.0,0.0,0.0,1,1,0,3,0,0
2024020066,2,False,2024-10-17,WSH,Washington Capitals,True,DAL,Dallas Stars,WSH,Washington Capitals,2,3,2.133,3.0,0.96,0.0,0.34,0.0,1.6520000000000001,1.0,0.052000000000000005,0.0,0.111,1.0,3,0,0,1,0,1
2024020067,2,False,2024-10-17,CBJ,Columbus Blue Jackets,True,BUF,Buffalo Sabres,CBJ,Columbus Blue Jackets,4,6,1.695,5.0,0.297,1.0,0.0,0.0,1.711,3.0,0.06799999999999999,0.0,0.0,0.0,5,1,0,4,0,0
2024020063,2,False,2024-10-17,DET,Detroit Red Wings,True,NYR,New York Rangers,DET,Detroit Red Wings,5,2,2.041,1.0,1.297,1.0,0.0,0.0,2.311,2.0,1.51,3.0,0.0,0.0,1,1,0,2,3,0
2024020068,2,False,2024-10-17,STL,St. Louis Blues,True,NYI,New York Islanders,STL,St. Louis Blues,0,1,2.068,0.0,0.07,0.0,0.028,0.0,2.145,0.0,0.048,0.0,0.019,0.0,1,0,0,0,0,0
2024020069,2,False,2024-10-17,NSH,Nashville Predators,True,EDM,Edmonton Oilers,NSH,Nashville Predators,4,2,1.427,1.0,0.515,1.0,0.063,0.0,2.561,3.0,0.548,0.0,0.0,0.0,1,1,0,4,0,0
2024020070,2,False,2024-10-17,CHI,Chicago Blackhawks,True,SJS,San Jose Sharks,CHI,Chicago Blackhawks,2,4,1.682,1.0,0.8009999999999999,2.0,0.0,0.0,1.211,1.0,0.336,0.0,0.136,0.0,2,2,0,2,0,0
2024020071,2,False,2024-10-17,SEA,Seattle Kraken,True,PHI,Philadelphia Flyers,SEA,Seattle Kraken,4,6,2.142,5.0,0.726,1.0,0.0,0.0,1.407,3.0,0.35,1.0,0.15,0.0,5,1,0,3,1,0
2024020072,2,False,2024-10-18,PIT,Pittsburgh Penguins,True,CAR,Carolina Hurricanes,PIT,Pittsburgh Penguins,4,1,0.984,1.0,2.2279999999999998,0.0,0.0,0.0,3.207,2.0,2.5519999999999996,2.0,0.318,0.0,1,0,0,2,2,0
2024020073,2,False,2024-10-18,WPG,Winnipeg Jets,True,SJS,San Jose Sharks,WPG,Winnipeg Jets,3,8,1.694,4.0,1.074,3.0,0.0,0.0,1.3699999999999999,2.0,0.757,1.0,0.017,0.0,4,4,0,2,1,0
