,gid_nhl,Season Type,Neutral,Date,Away Team,Away Score,Home Team,Home Score,map,gid_ubiq,open_away_ml,close_away_ml,open_home_ml,close_home_ml,open_total_line,open_total_over,open_total_under,close_total_line,close_total_over,close_total_under,open_hc_line,open_hc_away,open_hc_home,close_hc_line,close_hc_away,close_hc_home
59,2024020061,2,False,2024-10-17,LAK,4,MTL,1,2024-10-17-LAK-MTL,124972,-114.0,-132.0,101.0,119.0,6.0,-113.0,-101.0,6.0,103.0,-115.0,-1.5,218.0,-254.0,-1.5,203.0,-230.0
60,2024020062,2,False,2024-10-17,NJD,3,OTT,1,2024-10-17-NJD-OTT,124976,-114.0,-140.0,101.0,127.0,6.5,-101.0,-113.0,6.5,-101.0,-111.0,-1.5,216.0,-252.0,-1.5,176.0,-197.0
61,2024020064,2,False,2024-10-17,VGK,3,TBL,4,2024-10-17-VGK-TBL,124973,111.0,129.0,-125.0,-142.0,6.0,-110.0,-104.0,6.0,-115.0,102.0,1.5,-233.0,201.0,1.5,-204.0,181.0
62,2024020065,2,False,2024-10-17,VAN,3,FLA,2,2024-10-17-VAN-FLA,124975,102.0,-111.0,-115.0,101.0,6.0,-107.0,-107.0,5.5,101.0,-114.0,1.5,-250.0,214.0,1.5,-275.0,240.0
63,2024020066,2,False,2024-10-17,DAL,2,WSH,3,2024-10-17-DAL-WSH,124974,-141.0,-148.0,125.0,133.0,6.0,103.0,-118.0,5.5,-119.0,106.0,-1.5,180.0,-208.0,-1.5,175.0,-197.0
64,2024020067,2,False,2024-10-17,BUF,4,CBJ,6,2024-10-17-BUF-CBJ,124971,-116.0,-141.0,103.0,127.0,6.5,-110.0,-102.0,6.5,107.0,-120.0,-1.5,206.0,-240.0,-1.5,173.0,-194.0
65,2024020063,2,False,2024-10-17,NYR,5,DET,2,2024-10-17-NYR-DET,124979,-143.0,-145.0,126.0,131.0,6.5,-101.0,-113.0,6.5,-108.0,-104.0,-1.5,171.0,-196.0,-1.5,166.0,-185.0
66,2024020068,2,False,2024-10-17,NYI,0,STL,1,2024-10-17-NYI-STL,124981,-123.0,-140.0,109.0,126.0,6.0,100.0,-114.0,6.0,105.0,-118.0,-1.5,204.0,-237.0,-1.5,184.0,-207.0
67,2024020069,2,False,2024-10-17,EDM,4,NSH,2,2024-10-17-EDM-NSH,124980,-114.0,-120.0,101.0,109.0,6.5,-104.0,-110.0,6.5,-134.0,119.0,-1.5,212.0,-247.0,-1.5,200.0,-226.0
68,2024020070,2,False,2024-10-17,SJS,2,CHI,4,2024-10-17-SJS-CHI,124985,159.0,160.0,-182.0,-179.0,6.0,-104.0,-110.0,6.0,-106.0,-106.0,1.5,-158.0,139.0,1.5,-153.0,138.0
69,2024020071,2,False,2024-10-17,PHI,4,SEA,6,2024-10-17-PHI-SEA,124987,120.0,116.0,-135.0,-130.0,6.0,101.0,-115.0,6.0,-114.0,100.0,1.5,-212.0,184.0,1.5,-209.0,182.0
70,2024020072,2,False,2024-10-18,CAR,4,PIT,1,2024-10-18-CAR-PIT,125210,-140.0,-161.0,124.0,145.0,6.5,101.0,-116.0,6.5,101.0,-114.0,-1.5,175.0,-200.0,-1.5,158.0,-176.0
71,2024020073,2,False,2024-10-18,SJS,3,WPG,8,2024-10-18-SJS-WPG,125214,260.0,338.0,-310.0,-402.0,5.5,-117.0,102.0,6.0,108.0,-121.0,1.5,101.0,-114.0,1.5,131.0,-145.0
72,2024020074,2,False,2024-10-18,ANA,3,COL,4,2024-10-18-ANA-COL,125218,214.0,236.0,-250.0,-270.0,6.5,-122.0,106.0,7.0,119.0,-133.0,1.5,-113.0,100.0,1.5,100.0,-111.0
73,2024020075,2,False,2024-10-19,TBL,4,OTT,5,2024-10-19-TBL-OTT,125392,-115.0,-140.0,102.0,126.0,6.5,-113.0,-101.0,6.5,-112.0,100.0,-1.5,210.0,-245.0,-1.5,175.0,-196.0
74,2024020076,2,False,2024-10-19,DET,5,NSH,2,2024-10-19-DET-NSH,125393,154.0,171.0,-175.0,-192.0,6.5,-110.0,-104.0,6.5,-112.0,-101.0,1.5,-159.0,140.0,1.5,-143.0,129.0
75,2024020077,2,False,2024-10-19,EDM,1,DAL,4,2024-10-19-EDM-DAL,125394,106.0,-122.0,-119.0,110.0,6.0,-115.0,100.0,6.5,105.0,-118.0,1.5,-242.0,208.0,1.5,-279.0,243.0
